Longitude,Latitude,Adres,Type Lader
450.740.003.585.815,519.308.471.679.688,2e Jerichostraat 13 Rotterdam,Stopcontact NewMotion 02003928 mennekes
605.487.203.598.023,526.201.057.434.082,Schering 31 Genemuiden,Stopcontact NewMotion 02002649 mennekes
51.361.517.906.189,522.006.454.467.774,Lindelaan 36 Loosdrecht,Stopcontact NewMotion 02004012 mennekes
6.650.033,49.755.913, Fabrikstrasse Trier,Krachtstroom SW Trier Parkhaus Ostallee (AC) mennekes
5.352.152,5.171.899,Jupitersingel 15 Rosmalen,Krachtstroom E-laad EV0071 mennekes
6.858.502,4.683.173,T‰schmattstraﬂe 4 Luzern,Krachtstroom Essent EM-CH-00001061-01-00004 mennekes
6.858.502,4.683.173,T‰schmattstraﬂe 4 Luzern,Krachtstroom Essent EM-CH-00001061-01-00004 mennekes
6.858.502,4.683.173,T‰schmattstraﬂe 4 Luzern,Krachtstroom Essent EM-CH-00001061-01-00005 mennekes
6.858.502,4.683.173,T‰schmattstraﬂe 4 Luzern,Krachtstroom Essent EM-CH-00001061-01-00005 mennekes
7.025.878,50.721.655,Am Rathaus 7 Alfter,Krachtstroom Essent EM-DE-05382004-01-00001 mennekes
7.025.878,50.721.655,Am Rathaus 7 Alfter,Krachtstroom Essent EM-DE-05382004-01-00001 mennekes
7.846.591,51.926.527,Am Magnusplatz 30 Everswinkel,Krachtstroom Essent EM-DE-05570024-01-00002 mennekes
7.846.591,51.926.527,Am Magnusplatz 30 Everswinkel,Krachtstroom Essent EM-DE-05570024-01-00002 mennekes
8.391.667,510.475,Ludwigsburgstraﬂe 1 Bad Berleburg,Krachtstroom Essent EM-DE-05970004-01-00001 mennekes
8.391.667,510.475,Ludwigsburgstraﬂe 1 Bad Berleburg,Krachtstroom Essent EM-DE-05970004-01-00001 mennekes
6.416.017,4.960.495,Heesterter Straﬂe 12 Wincheringen,Krachtstroom Essent EM-DE-07235149-01-00001 mennekes
6.416.017,4.960.495,Heesterter Straﬂe 12 Wincheringen,Krachtstroom Essent EM-DE-07235149-01-00001 mennekes
9.400.713,47.714.324,Rˆntgenstr. 5 Markdorf,Krachtstroom Essent EM-DE-08435034-01-00001 mennekes
9.400.713,47.714.324,Rˆntgenstr. 5 Markdorf,Krachtstroom Essent EM-DE-08435034-01-00001 mennekes
450.022,519.598,Breitnersingel 25 Rotterdam,Stopcontact EV-Box EVB-P1317050 mennekes
5.296.925,51.686.743,Westwal 7 's-Hertogenbosch,Krachtstroom E-laad EV0087 mennekes
530.506,51.731.527,Polderwaard 11 's-Hertogenbosch,Krachtstroom E-laad EV0095 mennekes
5.294.479,5.168.729,Koningsweg 23 's-Hertogenbosch,Krachtstroom E-laad EV0079 mennekes
543.337.106.704.712,519.076.843.261.719,Morsestraat 8 Tiel,Stopcontact NewMotion 02003703 mennekes
112.537,48.175.102,Bullachstrasse 25 Fuerstenfeldbruck,Krachtstroom SW Fuerstenfeldbruck mennekes
6.101,50.782,Lombardenstraﬂe 12-22 Aachen,Snellader STAWAG - Betriebsgel‰nde chademo
423.155,5.154.895,EV-Box EVB-P1335161 ,Krachtstroom mennekes
8.06,52.298,Maenkedieckstrasse 14 Osnabrueck,Krachtstroom SW Osnabr¸ck Maenkedieckstrasse mennekes
6.081,50.779,Pontdriesch 4 Aachen,Krachtstroom STAWAG - Pontdriesch mennekes
9.125,51.334,Am Gasterfelderholz 1 Wolfhagen,Krachtstroom Stadtwerke Wolfhagen mennekes
6.099,50.783,Lombardenstrasse 22 Aachen,Krachtstroom STAWAG mennekes
454.829,510.251,EV-Box EVB-P1317097 ,Krachtstroom mennekes
0.77104,5.128.268,  Farnborough,Stopcontact EV-Box EVB-P1335133 mennekes
0.77104,5.128.268,  Farnborough,Stopcontact EV-Box EVB-P1335133 mennekes
6.294.705,51.950.785,Nijverheidsweg 21 Doetinchem,Krachtstroom E-laad AL907 mennekes
9.798,48.799,Marktplatz 1 Schw‰bisch Gm¸nd,Krachtstroom Stadtwerke Schw‰bisch Gm¸nd mennekes
10.602.171,48.406.443,Dreilindenstraﬂe 4 Zusmarshausen,Krachtstroom Essent EM-DE-09772223-01-00001 mennekes
8,52,Alte Poststrasse 9 Osnabrueck,Krachtstroom Stadtwerke Osnabrueck mennekes
104.618,475.144,Schattwald 3-4 Schattwald,Krachtstroom AUEW - Schattwald mennekes
8.045,52.272.697, Alte M¸nze Osnabr¸ck,Krachtstroom Stadtwerke Osnabr¸ck Ledenhof mennekes
6.092,50.768,Hacklaenderstrasse Aachen,Krachtstroom STAWAG - Hacklaenderstrasse mennekes
12.133.425,4.785.582, Bayerstrasse 5 Rosenheim,Krachtstroom Stadtwerke Rosenheim E-Tankstelle mennekes
6.071,50.77,Vaalser Strasse 48 Aachen,Krachtstroom STAWAG - Schanz mennekes
50.920.787,52.082.634,Rachmaninoffplantsoen 61 Utrecht,Krachtstroom ENO-UT-0041 mennekes
6.086,50.772,Theaterplatz 8 Aachen,Krachtstroom STAWAG - Theaterplatz mennekes
7.96,52.213,Blumenstraﬂe 1 Waldkirch,Krachtstroom Stadtwerke Waldkirch mennekes
554.127,5.141.224,Varda 10 Geldrop,Stopcontact EV-Box EVB-P1317012 mennekes
6.106,50.768,Neumarkt 1 Aachen,Krachtstroom STAWAG - Neumarkt mennekes
43.492.931.127.548,52.066.752.173.426,Maanplein 110 Den Haag,Krachtstroom FLW-P0112077 mennekes
806.686,52.205.853,Am Rathaus 12 Georgsmarienh¸tte,Krachtstroom Stadtwerke Georgsmarienh¸tte Kundenzentrum mennekes
6.010.435.093,49.506.509.709,Rue Aloyse Kayser  Schifflange,Krachtstroom E-laad Schifflange.001 mennekes
460.276,5.153.862,Sint Janshof 12 Sprundel,Stopcontact EV-Box EVB-P1321039 mennekes
444.559,5.152.591,Hulsdonksestraat 150 Roosendaal,Stopcontact EV-Box EVB-P1321049 mennekes
469.502,5.180.991,Springtij 214 Dordrecht,Stopcontact EV-Box EVB-P1328111 mennekes
697.551,5.317.564,Torum 3 Scheemda,Stopcontact EV-Box EVB-P1328120 mennekes
697.551,5.317.564,Torum 3 Scheemda,Krachtstroom EV-Box EVB-P1328120 mennekes
423.185,5.154.953,Slabbecoornweg 53 Tholen,Krachtstroom EV-Box EVB-P1335159 mennekes
6.010.209.788,49.506.457.456,Ruer Aloyse Kayser  Schifflange,Krachtstroom E-laad Schifflange.002 mennekes
6.636.224,49.756.577, Zuckerbergstrasse 31 Trier,Krachtstroom SW Trier City PArkhaus mennekes
7.187,51.279,Schaetzenstrasse 39-41 Wuppertal,Snellader WSW Wuppertaler Stadtwerke Schaetzenstrasse chademo
72.413.836.419.582,49.786.177.272.481,Hauptstraﬂe 84 Kempfeld,Krachtstroom Hauptstraﬂe 84-86 Kempfeld mennekes
1.102.364,5.097.784, Domplatz 37 Erfurt,Krachtstroom SWE Netz Domplatz mennekes
552.203,5.177.041,Begijnenstraat 1 Oss,Krachtstroom EV-Box EVB-P1309032 mennekes
552.203,5.177.041,Begijnenstraat 1 Oss,Krachtstroom EV-Box EVB-P1309032 mennekes
531.661,5.136.838,Kerver 16 Eersel,Stopcontact EV-Box EVB-P1321063 mennekes
438.164,5.201.247,Olof Palmestraat 1 Delft,Stopcontact EV-Box EVB-P1321134 mennekes
438.164,5.201.247,Olof Palmestraat 1 Delft,Stopcontact EV-Box EVB-P1321134 mennekes
44.956,5.224.898,Pletterij 3436 Noordwijkerhout,Krachtstroom EV-Box EVB-P1335098 mennekes
44.956,5.224.898,Pletterij 3436 Noordwijkerhout,Krachtstroom EV-Box EVB-P1335098 mennekes
44.353,5.186.223,Achterdijk 31 Rhoon,Krachtstroom EV-Box EVB-P1335111 mennekes
443.518,5.186.243,Dienstenstraat 812 Rhoon,Krachtstroom EV-Box EVB-P1335147 mennekes
443.524,5.186.253,Ambachtsweg 1 Rhoon,Krachtstroom EV-Box EVB-P1335149 mennekes
4.810.809,52.783.551,Harmenkaag 9 Schagen,Krachtstroom E-laad EV0092 mennekes
426.467.704.772.949,520.150.985.717.773,Bovendijk 50 Kwintsheul,Stopcontact NewMotion 02005302 mennekes
824.633,47.618.599, Georg-Wittig-Str. 1 Waldshut-Tiengen,Krachtstroom Stadtwerke Waldshut-Tiengen GmbH LKW-Grossparkplatz mennekes
916.755,51.323.849,Burgstraﬂe 33-35 Wolfhagen,Krachtstroom Stadtwerke Wolfhagen mennekes
95.517,52.208.199,Zum Oberntor 19 Springe,Krachtstroom SW Springe - Kundenbuero Stadtwerke Springe mennekes
11.572,48.132,Blumenstrasse 19 M¸nchen,Stopcontact Stadtwerke M¸nchen schuko
11,48,Blumenstraﬂe 19 M¸nchen,Krachtstroom Stadtwerke M¸nchen CEE
6.1,50.783,Lombardenstrasse 24 Aachen,Krachtstroom STAWAG - regio iT Einfahrt mennekes
8.312,54.914,Bahnweg 4 Sylt/Westerland,Krachtstroom Energieversorgung Sylt mennekes
7.187,51.279,Schaetzenstrasse 39-41 Wuppertal,Krachtstroom WSW Wuppertaler Stadtwerke Schaetzenstrasse mennekes
6.373,50.935,Heinrich-Mussmann-Strasse 1 J¸lich,Krachtstroom Stadtwerke J¸lich Fachhochschule mennekes
7.145,51.253,Johannisberg 1 Wuppertal,Krachtstroom WSW Wuppertaler Stadtwerke Parkhaus Johannisberg mennekes
7.145,51.255,Islandufer 15 wuppertal,Krachtstroom WSW Wuppertaler Stadtwerke Parkhaus Islandufer mennekes
6.361,50.922,Kˆlnstraﬂe 20 J¸lich,Krachtstroom Stadtwerke J¸lich Schloﬂplatz mennekes
11.325,50.984,Unescoplatz 1 Weimar,Krachtstroom Stadtwerke Weimar Weimarhalle mennekes
8.062,52.265,Hannoversche Strasse 6 Osnabrueck,Krachtstroom SW Osnabrueck Hannoverische Strasse mennekes
102.889,47.572.899,Burgberger Strasse 26a Rettenberg,Krachtstroom Auew - Rettenberg mennekes
607.803,5.076.878,Hubertusplatz 13 Aachen,Krachtstroom STAWAG Hubertusplatz mennekes
11.327,50.985.001,Friedensstraﬂe 1 Weimar,Krachtstroom Stadtwerke Weimar Atrium mennekes
7.206.641,51.273.972, Kohlgarten 7 Wuppertal,Krachtstroom WSW Wuppertaler Stadtwerke Parkhaus Werther Carre mennekes
105.974,48.006.798,Bahnhofsplatz 1 Bad Woerishofen,Krachtstroom Auew - Bad Woerishofen mennekes
718.806,50.907.547, Hauptstr. 142 Rˆsrath,Krachtstroom Stadtwerke Roesrath mennekes
8.035,52.213.001,Malberger Straﬂe 13 Georgsmarienh¸tte,Krachtstroom Stadtwerke Georgsmarienh¸tte Verwaltungsgeb‰ude mennekes
10.317,477.197,Kottener Str. 50 Kempten,Krachtstroom Auew - Kempten mennekes
60.851,50.770.531, Franzstr. Aachen,Krachtstroom STAWAG Muenchener str mennekes
105.016,476.241,Von-Lingg-Strasse (Parkplatz Alpspitzhalle) Nesselwang,Krachtstroom Auew - Nesselwang mennekes
6.110.176,50.794.518, Gruener Weg 100 Aachen,Krachtstroom STAWAG NetAachen Strasse mennekes
948.645,5.131.279, Kˆnigstor 13 Kassel,Krachtstroom St‰dtische Werke Kˆnigstor mennekes
9.5,51.314.999, Entenanger 9 Kassel,Krachtstroom St‰dtische Werke Entenanger mennekes
106.955,47.567.898,Kemptener Strasse 6 Fuessen,Krachtstroom Auew - Fuessen mennekes
8.042.804,52.282.146, Turnerstr. 3 Osnabrueck,Krachtstroom SW Osnabrueck Turnerstr mennekes
947.684,51.312.092,Wilhelmshˆher Allee 48 Kassel,Krachtstroom St‰dtische Werke Wilhelmshˆher Allee mennekes
10.22,47.559.299,Kirchplatz 1 Immenstadt,Krachtstroom AUEW - Immenstadt mennekes
806.482,52.247.265, Im Nahnerfeld Osnabrueck,Krachtstroom SW Osnabrueck Nahnerfeld mennekes
9.445,51.312, Bertha-von-Suttner-Straﬂe 21 Kassel,Krachtstroom St‰dtische Werke Bahnhof mennekes
10.74,47.556.602,Alpseestr. 2 Hohenschwangau,Krachtstroom AUEW - Hohenschwangau mennekes
9.459,51.316.002,Friedrich-Ebert-Straﬂe 160 Kassel,Krachtstroom St‰dtische Werke Stadthalle mennekes
100.251,475.532,Rainwaldstrasse (Auf dem Parkplatz vom Bahnhof) Oberstaufen,Krachtstroom AUEW - Oberstaufen mennekes
9.502,51.321.999,Henschelstraﬂe 15 Kassel,Krachtstroom St‰dtische Werke Holl‰ndischer Platz mennekes
9.965,51.271, Am Gradierwerk 2 Bad Sooden-Allendorf,Krachtstroom Stadtwerke Bad Sooden-Allendorf mennekes
102.797,47.511.402,Bogenstrasse 6 Sonthofen,Krachtstroom AUEW - Sonthofen mennekes
1.006.286,51.186.039,Wiesenstraﬂe 9  Eschwege,Krachtstroom Stadtwerke Eschwege mennekes
714.077,5.125.766, Bergstrasse 54 Wuppertal,Krachtstroom WSW Wuppertaler Parkhaus Am Kasinogarten mennekes
103.704,47.504.902,Am Bauernmarkt 1 Bad Hindelang,Krachtstroom AUEW - Bad Hindelang mennekes
10.045,51.191.002,Friedrich-Wilhelm-Straﬂe 2 Eschwege,Krachtstroom Stadtwerke Eschwege mennekes
102.847,47.406.601,Nebelhornstrasse 53 Oberstdorf,Krachtstroom AUEW - Oberstdorf mennekes
6.899.806,50.826.809, Clemens-August-Strasse Bruehl,Krachtstroom SW_Bruehl mennekes
10.23,47.988.998,Am Flughafen (Allgaeu Airport Memmingen Parkplatz vor Terminal) Memmingen,Krachtstroom AUEW - Memmingen Airport mennekes
985.428,51.344.681,Hinter dem Deich 9 Witzenhausen,Krachtstroom Stadtwerke Witzenhausen mennekes
8.438.449,55.019.554, Hafenstrasse 37 List,Krachtstroom EV Sylt Erlebniszentrum Naturgewalten mennekes
10.187,47.358.002,Walserstrasse Riezlern,Krachtstroom AUEW - Riezlern mennekes
714.096,5.125.246, Auf dem Johannisberg 1 Wuppertal,Krachtstroom WSW Wuppertaler Parkhaus Stadthalle und Hotel mennekes
6.767,51.439.697,Philosophenweg 17c Duisberg,Krachtstroom SW Duisburg - Innenhafen mennekes
676.981,51.434.803,Friedrich-Albert-Lange-Platz 7 Duisburg,Krachtstroom SW Duisburg - Stadthaus mennekes
939.562,51.033.901, Ostpreuﬂenweg 5 Homberg,Krachtstroom Kraftstrom-Bezugsgenossenschaft Homberg mennekes
10.199.829,49.995.235, Hohe Heide 4 Grafenrheinfeld,Krachtstroom UeZ Luelsfeld Trips mennekes
675.452,51.428.303,Bungertstrasse 27 Duisburg,Krachtstroom SW Duisburg - Parkplatz DVV mennekes
6.745.611,51.357.128,Zur Sandmuehle 1 Duisburg,Krachtstroom SW Duisburg - Hotel Landhaus Milser  mennekes
6.125.226,50.777.897,Dresdener Strasse 20  Aachen,Krachtstroom STAWAG Dresdner Strasse mennekes
6.777,51.407.001,Margaretenstrasse 11 Duisburg,Krachtstroom SW Duisburg - Margaretenstrasse mennekes
9.269,51.132, Am Grauen Turm Fritzlar,Krachtstroom Energie Waldeck Frankenberg mennekes
6.762,51.435.001,Burgplatz (Parkplatz am Rathaus) Duisburg,Krachtstroom SW Duisburg - Burgplatz mennekes
912.143,51.120.651,Alte Friedhofstraﬂe Bad Wildungen,Krachtstroom Energie Waldeck Frankenberg mennekes
6.634.973,49.751.751, Augustinerstrasse Trier,Krachtstroom SW Trier Rathausplatz mennekes
887.083,51.276.939,Flechtdorfer Straﬂe Korbach,Krachtstroom Energie Waldeck Frankenberg mennekes
901.035,51.376.701,Schlesienstraﬂe 23 Bad Arolsen,Krachtstroom Energie Waldeck Frankenberg mennekes
6.649.143,49.755.833, Ostallee Trier,Krachtstroom SW Trier Kundenzentrum (Ostallee) mennekes
10.327,49.868,Schallfelder 11 Luelsfeld,Krachtstroom UEZ Luelsfeld mennekes
110.374,50.957.859,Werner-Seelenbinder-Strasse1 Erfurt,Krachtstroom SWE Netz Th¸ringenhalle mennekes
7.188.085,51.277.252,Bromberger Strasse 39-41  Wuppertal,Krachtstroom WSW Wuppertaler Stadtwerke WSW Bromberger Strasse mennekes
808.296,52.280.849, Heiligenweg 127 Osnabr¸ck,Krachtstroom Stadtwerke Osnabr¸ck Schinkelbad mennekes
8.032,52.286.297,An der Bornau 2 Osnabrueck,Krachtstroom SW Osnabrueck - Zentrum fuer Umweltkommunikation mennekes
805.491,52.265.911,Meller Str. 22 Osnabr¸ck,Krachtstroom Stadtwerke Osnabr¸ck Rosenplatz mennekes
8.037,52.278.301,Natruper-Tor-Wall 2 Osnabrueck,Krachtstroom SW Osnabrueck - Stadthaus mennekes
8.036,52.264,Limberger Straﬂe 47 Osnabr¸ck,Krachtstroom Stadtwerke Osnabr¸ck Moskaubad mennekes
8.041.201,522.715, Schlosswall 1 Osnabr¸ck,Krachtstroom Stadtwerke Osnabr¸ck Stadthalle mennekes
45.838.978.886.604,5.191.057.933.804,Parallelweg 4 Krimpen aan den IJssel,Krachtstroom EVB-P1328107 mennekes
94.971.368.461.847,47.257.161.686.747,Neudorf 14 Sennwald,Krachtstroom Neudorf 14 Sennwald mennekes
10.602.171,48.406.443,Dreilindenstraﬂe 4 Zusmarshausen,Krachtstroom Essent EM-DE-09772223-01-00001 mennekes
6.141.948,49.619.168,Avenue John F. Kennedy  Luxembourg,Krachtstroom Essent EM-LU-00011001-01-00001 mennekes
6.141.948,49.619.168,Avenue John F. Kennedy  Luxembourg,Krachtstroom Essent EM-LU-00011001-01-00002 mennekes
6.141.948,49.619.168,Avenue John F. Kennedy  Luxembourg,Krachtstroom Essent EM-LU-00011001-01-00003 mennekes
6.141.948,49.619.168,Avenue John F. Kennedy  Luxembourg,Krachtstroom Essent EM-LU-00011001-01-00004 mennekes
48.800.874,523.478.446,Bachplein 1 Amsterdam,Krachtstroom Nuon NL-1077GH-VAT-2259 mennekes
48.800.874,523.478.446,Bachplein 1 Amsterdam,Krachtstroom Nuon NL-1077GH-VAT-2259 mennekes
491.524,5.233.799,Spaklerweg 20 Amsterdam,Krachtstroom EV-Box EVB-P1305005 mennekes
488.837,5.207.981,De Bleek 2 Woerden,Krachtstroom EV-Box EVB-P1335021 mennekes
488.837,5.207.981,De Bleek 2 Woerden,Krachtstroom EV-Box EVB-P1335021 mennekes
591.681.671.142.578,51.887.092.590.332,Dwarsdijk 24 Bemmel,Stopcontact NewMotion 02003386 mennekes
5.379.106,52.161.651,NewMotion DBTQC442G-001005 ,Snellader chademo
571.078.824.996.948,522.714.042.663.574,Garderenseweg 109 Ermelo,Stopcontact NewMotion 02003772 mennekes
4.691.462,52.306.407,Kruisweg 1023 Hoofddorp,Krachtstroom E-laad EV0045 mennekes
545.909,524.961,Zwanenwater 17 Lelystad,Stopcontact EV-Box EVB-P1328025 mennekes
445.748,5.188.652,Waalstraat 32 Rotterdam,Krachtstroom EV-Box EVB-P1335187 mennekes
4.664.983,52.305.994,Sonderholm 164 Hoofddorp,Krachtstroom E-laad EV0057 mennekes
683.420.848.846.436,522.380.714.416.504,Colosseum 80 Enschede,Stopcontact NewMotion 02004863 mennekes
4.690.641,52.299.678,Klaas van Reeuwijkstraat 60 Hoofddorp,Krachtstroom E-laad EV0062 mennekes
530.811,5.240.743,Tiarastraat 19 Almere,Krachtstroom EV-Box EVB-P1228029 mennekes
50.781.565.904.617,52.066.936.846.393,Van Deventerlaan 50 Utrecht,Krachtstroom Mercedes Benz Nederland mennekes
542.605.113.983.154,51.623.477.935.791,Stamhuis 4-20 Schijndel,Stopcontact NewMotion 02004623 mennekes
439.194,5.207.732,Overgoo 6 Leidschendam,Krachtstroom EV-Box EVB-P1335019 mennekes
439.194,5.207.732,Overgoo 6 Leidschendam,Krachtstroom EV-Box EVB-P1335019 mennekes
46.135.979.890.823,5.183.107.693.398,Daltonstraat 18 Zwijndrecht,Krachtstroom EVB-P1328124 mennekes
59.802.156.686.783,51.551.445.562.747,Spurkt 1 Venray,Krachtstroom FLW-P1328125 mennekes
4,52,Saturnusstraat 8 Den Haag,Krachtstroom FLW-P0112068 mennekes
5.050.914.734.602,52.127.856.983.311, Westkanaaldijk 5-01 Utrecht,Krachtstroom FLW-P1328030 mennekes
59.764.190.018.177,52.231.476.113.383,Fauststraat 1 Apeldoorn,Krachtstroom FLW-P1328121 mennekes
46.864.145.994.186,51.830.334.342.299,Veerweg 173 Papendrecht,Krachtstroom FLW-P1328128 mennekes
46.759.580.075.741,5.185.253.883.951,Kelvinring 46 Alblasserdam,Krachtstroom FLW-P1335006 mennekes
52.454.607.188.702,51.813.354.163.203,Gamerschestraat 34 Zaltbommel,Krachtstroom FLW-P1321015 mennekes
579.471,5.238.164,Driftweg 28 Nunspeet,Stopcontact EV-Box EVB-P1317014 mennekes
510.586,5.208.799,Croeselaan 15 Utrecht,Krachtstroom EV-Box EVB-P1335050 mennekes
510.586,5.208.799,Croeselaan 15 Utrecht,Krachtstroom EV-Box EVB-P1335050 mennekes
4.668.983,522.961,Femina Mullerstraat 92 Hoofddorp,Krachtstroom E-laad EV0081 mennekes
4.663.672,52.295.421,Anna Blamanstraat 82 Hoofddorp,Krachtstroom E-laad EV0051 mennekes
4.610.749,5.226.766,Mozartlaan 1 Nieuw Vennep,Krachtstroom E-laad EV0110 mennekes
4.701.813,52.671.059,Binnenhof 23 Bergen,Krachtstroom E-laad EV0109 mennekes
557.023.572.921.753,513.877.258.300.781,Burgemeester Serrarisstraat 51 Heeze,Stopcontact NewMotion 02004110 mennekes
566.405,5.304.803,Oosterom 5 Sneek,Krachtstroom EV-Box EVB-P1335071 mennekes
566.405,5.304.803,Oosterom 5 Sneek,Krachtstroom EV-Box EVB-P1335071 mennekes
4.717.728,52.664.218,Kogendijk 56 Bergen,Krachtstroom E-laad EV0103 mennekes
495.267.248.153.686,523.308.792.114.258,Diemerdreef Diemen,Stopcontact NewMotion 02005678 mennekes
613.139.560.000.002,523.827.574,Industrieweg 2-6 Wijhe,Stopcontact NewMotion 02000537 mennekes
613.207.912.445.068,523.828.430.175.781,Industrieweg 2 Wijhe,Stopcontact NewMotion 02000592 mennekes
4.691.731,50.879.887,Sint-Jacobsplein 1-27 Leuven,Krachtstroom ENO-EVA-A028_1 mennekes
4.691.731,50.879.887,Sint-Jacobsplein 1-27 Leuven,Krachtstroom ENO-EVA-A028_2 mennekes
4.691.731,50.879.898,SInt-Jacobsplein 1-27 Leuven,Krachtstroom ENO-EVA-A029_1 mennekes
4.691.731,50.879.898,SInt-Jacobsplein 1-27 Leuven,Krachtstroom ENO-EVA-A029_2 mennekes
4.715.232,50.880.184,Tiensevest 2-16 Leuven,Krachtstroom ENO-EVA-A032_1 mennekes
4.715.232,50.880.184,Tiensevest 2-16 Leuven,Krachtstroom ENO-EVA-A032_2 mennekes
4.370.434,5.093.206,Pastoor Woutersstraat null Grimbergen,Krachtstroom ENO-EVA-A012_1 mennekes
4.370.434,5.093.206,Pastoor Woutersstraat null Grimbergen,Krachtstroom ENO-EVA-A012_2 mennekes
442.292,5.092.877,Grote Markt 6 Vilvoorde,Krachtstroom ENO-EVA-A056_1 mennekes
442.292,5.092.877,Grote Markt 6 Vilvoorde,Krachtstroom ENO-EVA-A056_2 mennekes
2.963.997,51.248.837,Kapellestraat 47-49 Bredene,Krachtstroom ENO-EVA-A025_1 mennekes
2.963.997,51.248.837,Kapellestraat 47-49 Bredene,Krachtstroom ENO-EVA-A025_2 mennekes
3.033.793,51.279.232,Christianaplein 1 De Haan,Krachtstroom ENO-EVA-A024_1 mennekes
3.033.793,51.279.232,Christianaplein 1 De Haan,Krachtstroom ENO-EVA-A024_2 mennekes
4.139.818,51.161.728,Heymanplein 204 Sint-Niklaas,Krachtstroom ENO-EVA-A030_1 mennekes
4.139.818,51.161.728,Heymanplein 204 Sint-Niklaas,Krachtstroom ENO-EVA-A030_2 mennekes
4.137.608,51.166.985,Collegestraat 40 Sint-Niklaas,Krachtstroom ENO-EVA-A031_1 mennekes
4.137.608,51.166.985,Collegestraat 40 Sint-Niklaas,Krachtstroom ENO-EVA-A031_2 mennekes
3.718.833,51.053.535,Sint-Michielsplein 7 Gent,Krachtstroom ENO-EVA-A033_1 mennekes
3.718.833,51.053.535,Sint-Michielsplein 7 Gent,Krachtstroom ENO-EVA-A033_2 mennekes
3.726.039,5.104.191,Sint-Pietersplein 45 Gent,Krachtstroom ENO-EVA-A034_1 mennekes
3.726.039,5.104.191,Sint-Pietersplein 45 Gent,Krachtstroom ENO-EVA-A034_2 mennekes
3.730.545,5.105.179,Seminariestraat 4-10 Gent,Krachtstroom ENO-EVA-A037_1 mennekes
3.730.545,5.105.179,Seminariestraat 4-10 Gent,Krachtstroom ENO-EVA-A037_2 mennekes
2.582.688,5.109.983,Pierre Bortierplein 11 De Panne,Krachtstroom ENO-EVA-A022_1 mennekes
2.582.688,5.109.983,Pierre Bortierplein 11 De Panne,Krachtstroom ENO-EVA-A022_2 mennekes
2.635.608,5.111.964,Westendestraat null Koksijde,Krachtstroom ENO-EVA-A021_1 mennekes
2.635.608,5.111.964,Westendestraat null Koksijde,Krachtstroom ENO-EVA-A021_2 mennekes
2.720.747,5.115.032,Albert I laan 155 155 Nieuwpoort,Krachtstroom ENO-EVA-A055_1 mennekes
2.720.747,5.115.032,Albert I laan 155 155 Nieuwpoort,Krachtstroom ENO-EVA-A055_2 mennekes
4.675.275,51.350.407,Hoogstraatsebaan 14 Brecht,Krachtstroom ENO-EVA-A026_1 mennekes
4.675.275,51.350.407,Hoogstraatsebaan 14 Brecht,Krachtstroom ENO-EVA-A026_2 mennekes
4.361.486,51.329.933,Laageind 5 Stabroek,Krachtstroom ENO-EVA-A069_1 mennekes
4.361.486,51.329.933,Laageind 5 Stabroek,Krachtstroom ENO-EVA-A069_2 mennekes
4.233.513,5.073.451,Oudstrijdersplein 11 Halle,Krachtstroom ENO-EVA-A059_1 mennekes
4.233.513,5.073.451,Oudstrijdersplein 11 Halle,Krachtstroom ENO-EVA-A059_2 mennekes
409.908,5.102.925,Sint-Jorisgilde 2 Dendermonde,Krachtstroom ENO-EVA-A045_1 mennekes
409.908,5.102.925,Sint-Jorisgilde 2 Dendermonde,Krachtstroom ENO-EVA-A045_2 mennekes
4.230.874,50.958.584,Marktstraat 6 Merchtem,Krachtstroom ENO-EVA-A038_1 mennekes
4.230.874,50.958.584,Marktstraat 6 Merchtem,Krachtstroom ENO-EVA-A038_2 mennekes
3.126.425,50.944.023,Botermarkt 30 Roeselare,Krachtstroom ENO-EVA-A013_1 mennekes
3.126.425,50.944.023,Botermarkt 30 Roeselare,Krachtstroom ENO-EVA-A013_2 mennekes
3.126.613,50.948.303,De Coninckplein null Roeselare,Krachtstroom ENO-EVA-A014_1 mennekes
3.126.613,50.948.303,De Coninckplein null Roeselare,Krachtstroom ENO-EVA-A014_2 mennekes
5.121.592,511.871,Molenstraat 2 Mol,Krachtstroom ENO-EVA-A043_1 mennekes
5.121.592,511.871,Molenstraat 2 Mol,Krachtstroom ENO-EVA-A043_2 mennekes
4.938.741,51.323.586,Stationstraat 46 Turnhout,Krachtstroom ENO-EVA-A050_1 mennekes
4.938.741,51.323.586,Stationstraat 46 Turnhout,Krachtstroom ENO-EVA-A050_2 mennekes
3.607.179,5.115.226,Nieuwstraat 1-23 Waarschoot,Krachtstroom ENO-EVA-A051_1 mennekes
3.607.179,5.115.226,Nieuwstraat 1-23 Waarschoot,Krachtstroom ENO-EVA-A051_2 mennekes
3.262.081,5.082.643,Koning Albertstraat (Dolfijnkaai) 92 Kortrijk,Krachtstroom ENO-EVA-A039_1 mennekes
3.262.081,5.082.643,Koning Albertstraat (Dolfijnkaai) 92 Kortrijk,Krachtstroom ENO-EVA-A039_2 mennekes
3.266.029,50.827.084,Graanmarkt 1 Kortrijk,Krachtstroom ENO-EVA-A040_1 mennekes
3.266.029,50.827.084,Graanmarkt 1 Kortrijk,Krachtstroom ENO-EVA-A040_2 mennekes
